event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
PCH Champs,7538,17,red,3,Bump,0,0,1,0,0,0,FALSE,FALSE,TRUE,1,0,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:25:10
PCH Champs,7451,18,blue,2,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,1,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,null,2023-04-07 9:33:07
PCH Champs,8736,18,blue,1,Lane,0,0,0,1,0,0,FALSE,FALSE,TRUE,1,0,0,1,0,2,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,null,2023-04-07 9:33:05
PCH Champs,2974,18,blue,3,Center,1,0,0,0,0,0,TRUE,FALSE,TRUE,0,1,0,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,they hood,2023-04-07 9:33:40
PCH Champs,4516,18,red,2,Center,1,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,Did not play for any point they played defend the whole match ,2023-04-07 9:33:40
PCH Champs,2415,18,red,1,Bump,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Struggled to get game pieces,2023-04-07 9:33:22
PCH Champs,1102,18,red,3,Lane,1,0,1,0,0,0,TRUE,FALSE,FALSE,1,0,0,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:33:04
PCH Champs,5109,19,blue,2,Center,1,0,0,0,0,0,TRUE,FALSE,FALSE,0,0,0,3,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,Fumbled 4 cones exiting the human player station,2023-04-07 9:40:42
PCH Champs,3344,19,blue,1,Lane,0,0,0,0,0,1,FALSE,FALSE,TRUE,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,3344 is a very jancky team. They are also slow and don’t seem to have a strategy ,2023-04-07 9:41:15
PCH Champs,8137,19,blue,3,Bump,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-07 9:40:30
