event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
Hartsville,1758,38,red,1,Center,1,0,0,0,0,0,TRUE,FALSE,FALSE,0,0,0,0,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 15:24:53
Hartsville,1758,42,red,2,Center,0,0,2,0,0,0,null,null,TRUE,0,0,2,0,0,2,null,null,TRUE,FALSE,null,2,null,null,null,2023-03-24 16:20:35
Hartsville,1758,46,blue,2,Center,0,0,0,0,2,0,TRUE,null,TRUE,0,2,2,0,2,2,TRUE,FALSE,null,null,TRUE,2,null,null,could place cones and cubes well,2023-03-24 16:12:34
Hartsville,2815,2,blue,3,Center,0,0,0,0,0,0,TRUE,null,TRUE,0,2,0,0,2,2,null,null,null,TRUE,null,2,null,null,spent most of match fumbling with teammates,2023-03-24 16:05:08
Hartsville,2815,9,blue,2,Center,0,0,0,0,0,0,FALSE,TRUE,FALSE,0,0,0,0,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,another slow robot,2023-03-24 15:53:53
Hartsville,2815,14,red,2,Center,0,0,0,0,0,0,TRUE,FALSE,FALSE,0,0,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,They seemed to stop or lose connectIon? only can go for the hybrid witb cubes,2023-03-24 15:46:40
Hartsville,2815,17,blue,3,Center,0,0,0,0,0,0,TRUE,null,TRUE,0,0,2,0,0,2,null,null,TRUE,null,null,2,null,null,Grabber seamed weak or loose,2023-03-24 15:35:24
Hartsville,2815,20,red,1,Lane,0,0,0,0,0,0,null,null,TRUE,0,0,0,0,0,0,null,TRUE,null,null,null,2,null,null,null,2023-03-24 16:21:28
Hartsville,2815,25,red,1,Center,0,0,0,0,0,0,TRUE,FALSE,TRUE,0,0,2,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 16:12:46
Hartsville,2815,28,blue,2,Lane,0,0,0,0,0,0,null,null,TRUE,0,0,2,0,0,2,null,null,null,null,null,2,null,TRUE,Did little and appeared to stop to do nothing.,2023-03-24 16:06:10
Hartsville,2815,36,blue,1,Center,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0,4,0,0,2,TRUE,null,TRUE,TRUE,FALSE,2,null,null,Mainly did hybrid nodes. can pick up the cube from any angle\rotation,2023-03-24 15:52:32
Hartsville,2815,43,blue,3,Center,0,0,0,0,0,0,TRUE,FALSE,TRUE,0,0,2,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,Messed up balance,2023-03-24 15:44:52
Hartsville,3489,1,red,3,Center,0,0,2,0,0,0,TRUE,FALSE,FALSE,0,0,0,0,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,Got cone stuck under robot while on charge station,2023-03-24 16:20:28
